utm_campaign,push_impressions,utm_visited
,18684,0
,0,1634910
01Apr_MP_1_xxALL,0,3
01Apr_MP_2_xxALL,0,1
01Apr_MP_3_xxALL,0,2
01Apr_MP_4_xxALL,0,3
01Apr_MP_5_xxALL,0,1
01April_WA_Generic,0,5
02Apr_MP_1_xxABC,0,3
02Apr_MP_2_Dog_Generic,0,2
02Apr_MP_3_xxALL,0,3
02Apr_MP_3_xxSDD,0,2
02Apr_MP_4_xxALL,0,4
03Apr_MP_1_xxALL,0,2
03Apr_MP_2_xxALL,0,4
03Apr_MP_2_xxSDD,0,1
03Apr_MP_3_xxALL,1,2
03Apr_MP_4_xxALL,0,3
04Apr_MP_1_30mn_xxGEN,27,0
04Apr_MP_2_SDD_xxGEN,28,0
04Apr_MP_2_xxALL,491,9
04Apr_MP_3_xxALL,692,12
04Apr_MP_4_xxALL,4051,52
04Apr_MP_6_xxALL,207750,834
04Apr_MP_7_xxALL,36106,385
04April_MP_5_Clinic_xBDAY,1,0
04April_MP_6_AHS_xxN2B,9,0
04April_WA_xxALL,0,173
04April_WTF_Email,0,7
04April_WTF_SMS_4_Lapse_xxxxC,0,1
04April_WTF_SMS_5_RBNOD,0,2
05Apr_MP_1_30mns_xxGen,13739,42
05Apr_MP_2_SDD_xxGEN,13374,46
05Apr_MP_2_xxALL,179406,635
05Apr_MP_3_xxALL,115985,437
05Apr_MP_4_xxALL,404336,1349
05Apr_MP_5_xxALL,194427,611
05Apr_MP_7_xxALL,172706,509
05Apr_WA_xxALL,0,825
05April_WA_xxALL,0,39
06Apr_MP_1_xxALL,3,1
06March_Wa_1_Proplan_BRAND,0,1
09March_WA_Proplan_BRAND,0,1
11March_WA_Tick%26Flea_PHARM,0,1
120231826656270518,0,9
120233323245190518,0,19
120240172293680428,0,1
120241608920390518,0,5
120241790677430518,0,13
12024310603643006,0,1
120243106036430063,0,6
12Mar_MP1_ALL,117,1
1769829640,0,1
1769836760,0,2
1769836970,0,1
1769838169,0,1
1769839341,0,1
1770894480,0,1
1772845356,0,2
1772846825,0,3
1772847525,0,1
1772848260,0,1
1772848439,0,1
18Mar_Email_March_Madness,0,1
21Feb_MP_2_Past_PHARM_xFOOD,10,0
21Feb_MP_2_Past_PHARM_xFOOD_viewed,1,0
21Feb_WA_xxRetry,0,1
22437859191,0,32
22Mar_MP_IBNOD,561,0
22Mar_WA_IBNOD,0,10
23March_MP_1_xxALL,0,1
