utm_campaign,push_impressions,utm_visited
,17610,0
,0,553957
+block_id_5_neel_v2,0,2
04Apr_MP_4_xxALL,0,2
04Apr_MP_6_xxALL,0,1
04April_WA_xxALL,0,31
04April_WTF_Email,0,1
05Apr_WA_xxALL,0,13
05April_WA_xxALL,0,1
07Apr_MP_1_30mns_xxGen,0,1
07Apr_MP_1_xxALL,0,1
08Apr_MP_1_xxALL,0,1
08Apr_MP_2_Past_NF_xFOOD,4658,10
08Apr_MP_2_xxALL,0,1
08April_Wa_Clinic_Grooming_Potential,0,1
08apr_Email_Past_NF_xFOOD_dog,0,1
09Apr_MP_1_xxALL,0,5
09Apr_MP_2_xxALL,1,8
09Apr_MP_2_xxSDD,0,1
09April_MP_1_KK_BRAND,0,1
09April_MP_3_Henlo_BRAND,2,0
09April_MP_5_dogsee_chew_BRAND,0,1
09April_MP_6M_Clinic_xSKIN,0,1
09April_MP_A1M_xxABC,0,2
09April_Wa_Clinic_Gut,0,1
09April_Wa_Clinic_Skin,0,2
10Apr_MP_1_xxALL,480,28
10Apr_MP_1_xxSDD,36,1
10Apr_MP_2_xxALL,2220,146
10April_MP_1_Friskies_BRAND,20,0
10April_MP_2M_Clinic_xxxKR,2,0
10April_MP_2_PHARM,68,10
10April_MP_4M_Clinic_xxGRP,2,1
10April_MP_5M_Clinic_xxCNP,4,0
10April_MP_9M_Clinic_xxN2B,8,0
10April_MP_A10M_xxxWF,2,0
10April_MP_A11M_Grooming,1,0
10April_MP_A15M_Deworming,1,0
10April_MP_A17M_Supplement,4,0
10April_MP_A18M_Bowls,1,0
10April_MP_A1M_xxABC,3,4
10April_MP_A20M_xxBMT,1,0
10April_MP_A21M_xSkin,2,0
10April_MP_A3M_xRECO,7,0
10April_MP_A4M_xxSKU,10,0
10April_MP_A5M_xxAFF,33,0
10April_MP_A9M_xxxDF,4,0
10April_MP_B10M_xxxWF,1,0
10April_MP_B15M_Deworming,4,0
10April_MP_B16M_xTick,1,0
10April_MP_B17M_Supplement,1,0
10April_MP_B19M_Clothing,1,0
10April_MP_B1M_xxABC,8,0
10April_MP_B20M_xxBMT,1,0
10April_MP_B21M_xSkin,2,0
10April_MP_B2M_xxxPD,2,0
10April_MP_B3M_xRECO,12,0
10April_MP_B4M_xxSKU,21,1
10April_MP_B5M_xxAFF,35,0
10April_MP_B7M_Joint,1,0
10April_MP_B9M_xxxDF,5,0
10apr_MP_30min_Bclub_Blr,10,1
10apr_MP_30min_snacktime_Blr,51,4
110Apr_MP_2_xxSDD,43,3
11Apr_Email_Pets_Day,0,4
11Apr_MP_1_30mns_xxGen,5380,30
11Apr_MP_1_xxALL,109084,586
