utm_campaign,push_impressions,utm_visited
,19069,0
,0,1717366
"%20Supertails%20Live%20Project%201%20trial%20active%20Ask%20%20%20Campaigns%20/%20Email%20/%2018Mar_Email_Clinic_RN_Launch%20/%20clone%2050%25%20complete%20Unsaved%20Name*%2021Mar_Email_Clinic_RN_Launch%20Label%20Clinic-Repeat%20Select%20labels%20%20Start%20here%20Qualification%20criteria:Past%20behavior/Custom%20listService%20Provider:support@send.supertails.comGoal:Appointment%20Confirmed,%205%20Days%20%20Who",0,1
+block_id_5_neel_v2,0,3
01Apr_MP_10_xxxWF,826,2
01Apr_MP_11_Grooming,620,1
01Apr_MP_12_xToys,692,2
01Apr_MP_13_Treat,545,0
01Apr_MP_14_xxCLH,554,4
01Apr_MP_15_Deworming,1857,10
01Apr_MP_16_xTICK,859,1
01Apr_MP_17_Supplement,1524,2
01Apr_MP_18_Bowls,210,1
01Apr_MP_19_Clothing,876,3
01Apr_MP_1_30mns_xxBLR,8390,24
01Apr_MP_1_30mns_xxGEN,5387,18
01Apr_MP_1_xxABC,16957,142
01Apr_MP_1_xxALL,110136,619
01Apr_MP_1_xxSDD,12482,70
01Apr_MP_20_xxBMT,314,0
01Apr_MP_21_xSkin,955,6
01Apr_MP_22_Cardiac,74,0
01Apr_MP_23_Digestive,27,0
01Apr_MP_24_Liver,50,0
01Apr_MP_2_30mns_xxBLR,8332,31
01Apr_MP_2_30mns_xxGen,5354,19
01Apr_MP_2_xxALL,207468,927
01Apr_MP_2_xxSDD,12513,43
01Apr_MP_2_xxxPD,10685,89
01Apr_MP_3_xRECO,4665,28
01Apr_MP_3_xxALL,176912,769
01Apr_MP_4_xxALL,191532,811
01Apr_MP_4_xxSKU,6645,24
01Apr_MP_5_xxAFF,9985,44
01Apr_MP_5_xxALL,192086,689
01Apr_MP_6_Kidney,93,1
01Apr_MP_7_Joint,177,0
01Apr_MP_8_Litter,282,0
01Apr_MP_9_xxxDF,3253,12
01April_WA_Generic,0,409
02Apr_MP_1_xxABC,1,0
02Apr_MP_1_xxALL,10,0
02Apr_MP_2_30mns_xxGen,1,0
02Apr_MP_2_Cat_Generic,1,0
02Apr_MP_2_Dog_Generic,1,0
02Apr_MP_3_xxALL,6,0
02Apr_MP_3_xxSDD,1,0
02Apr_MP_4_xxALL,8,0
02Apr_MP_4_xxSKU,1,0
04Apr_MP_4_xxALL,1,0
04Apr_MP_7_xxALL,1,0
04March_Wa_Clothing_xxxNF,0,1
07March_MP_2_xxALL,0,5
08March_WA_Litter_xxxNF,0,1
120231826656270,0,2
120231826656270518,0,33
120233323245190518,0,35
120241608920390518,0,20
120241790677430518,0,10
120243106036430063,0,22
12Mar_MP1_ALL,135,0
16March_WA_1_BMT_xxxNF,0,1
1771501702,0,1
1772845356,0,1
1772848439,0,1
1772848764,0,1
17mar_MP_1_Past_PHARMA_xFOOD_viewed_B,3,1
17mar_MP_1_Past_PHARMA_xFOOD_viewed_C,4,0
17mor_MP_1_Past_PHARMA_xFOOD_A,1,0
17mor_MP_1_Past_PHARMA_xFOOD_B,1,0
17mor_MP_1_Past_PHARMA_xFOOD_C,1,0
19March_wa_1_Dewormer_PHARM,0,1
1April_MP_1_Clinic_xxxKR,546,1
1April_MP_2_Clinic_xxRAJ,483,1
1April_MP_3_Clinic_xSKIN,598,2
1April_MP_4_Clinic_xxGUT,278,0
1April_MP_5_Clinic_xDENT,65,2
1April_MP_6_Clinic_xxN2B,8835,12
20March_MP_1_xxALL,0,1
21Feb_WA_EA,0,1
21Feb_WA_EA_Reply_Button,0,1
22437859191,0,28
22Feb_WA_EA,0,2
22Mar_MP_IBNOD,595,0
22Mar_WA_IBNOD,0,20
23Mar_WA_Clinic_Supercash_xxN2B,0,1
23March_MP_1_xxALL,0,1
23March_MP_2_xxALL,0,1
25March_MP_2_xxALL,0,1
26March_MP_1_xxABC,0,1
27March_MP_2_xxxPD,0,1
27March_Wa_Clinic_Launch_xxxKR,0,1
28Dec_WA_BRAND,0,1
28Mar_WA_xxALL,0,64
28March_MP_1_xxALL,0,1
28March_MP_2_xxALL,0,2
28March_MP_3_xxALL,0,1
28March_MP_9_xxALL,0,5
28March_SMS_xxGEN,0,6
29Mar_WA_RBNOD,0,32
29Mar_WA_xxALL,0,7
29March_MP_1_xxALL,0,2
29March_MP_2_xxALL,0,1
29March_MP_4_xxALL,0,1
29March_MP_5_xxALL,0,4
30March_MP_12_XTOYS,0,1
30March_MP_1_xxABC,0,2
30March_MP_1_xxALL,0,4
30March_MP_2_xxALL,0,4
30March_MP_2_xxSDD,0,1
30March_MP_2_xxxPD,0,1
30March_MP_4_xxSKU,0,1
30mar_henlo_wtf_wa,0,3
31Aug_WA_Reorder_Reminder,0,5
31March_Email_1_LAPSE,0,6
31March_MP_1_30mns_xxGen,29,0
31March_MP_1_Clinic_xxxKR,4,0
31March_MP_1_xxABC,1,10
31March_MP_1_xxALL,394,10
31March_MP_2_Clinic_xxRAJ,3,0
31March_MP_2_xxALL,879,21
31March_MP_2_xxSDD,17,1
31March_MP_3_Clinic_xSKIN,17,0
31March_MP_3_xxALL,1983,47
31March_MP_4_Clinic_xxGUT,10,0
31March_MP_4_xxALL,4709,204
31March_MP_4_xxSKU,0,1
31March_MP_5_Clinic_xDENT,2,0
31March_MP_6_Clinic_xxN2B,31,1
31March_SMS_1_LAPSE_xxxxA,0,1
31March_SMS_2_LAPSE_xxxxB,0,3
31_march_WetFood,0,47
31_march_food_pdp,0,383
AppRT_Android_All,0,187
App_Install_Clinic,0,2
BLR_Charged_Supercash_New_Cx,206,0
BrandMarketing_SaleCallout_MIX_Video_TrafficGoogleLPViews_MOF_RoInd,0,249
BrandMarketing_Seasonal_ACQ_Traff_MIX_TOF_Ind,0,2
CM_Short_MIX_PMax_Dog-HomeMeals-Launch-Blr_BOF_QComm,0,13
CatMkt_Short_MIX_PerfMax_Signature_BOF_RoInd,0,61
Clinic+Abandoned+Cart+Journey,0,1
ClinicDropOffJourney,66,3
DSA_AllProducts_TROAS,0,161
Day3_Henlo_Sampling_18mar_Push,24,0
Day6_Henlo_Sampling_18mar_Push,24,0
Day7_Henlo_Sampling_18mar_Push,20,0
Food_DemandGen_Products,0,121
Healthcare_Bookings_BLR_FP_LAL_Acquisitions,0,1
IBNODJourney,406,0
Journey,1,0
M1Journey,13,0
M1PV,124,2
Msg1,211,3
N2B10KMRadiusCustomers_Traffic,0,13
NF_DemandGen_Products,0,199
PMax_SeniorPets_TROAS_SDD,0,130
PerfMarketing_BAU_ACQ_DemandGen_AllCategories_BOF_Ind,0,93
PerfMarketing_BAU_ACQ_PerfMax_NonFood_BOF_RoInd,0,51
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind,0,221
PerfMarketing_BAU_ACQ_Sales_MetaAllCategories_BOF_Ind,0,251
PerfMarketing_BAU_ACQ_Search_Brand_BOF_RoInd,0,6
PerfMarketing_BAU_ACQ_Search_Competitors_BOF_RoInd,0,9
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_QComm,0,1
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_RoInd,0,4
PerfMarketing_BAU_ACQ_Search_GenericNonFood_BOF_QComm,0,3
PerfMarketing_BAU_ACQ_Search_GenericNonFood_BOF_RoInd,0,35
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_QComm,0,4
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_RoInd,0,11
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_SDD,0,6
PerfMarketing_BAU_ACQ_Search_PartnerFood_BOF_QComm,0,5
PerfMarketing_BAU_ACQ_Search_PartnerFood_BOF_RoInd,0,7
PerfMarketing_BAU_ACQ_Search_PharmaPartner_BOF_RoInd,0,2
PerfMarketing_BAU_ACQ_Search_PharmaPartner_BOF_SDD,0,1
PerfMarketing_BAU_ACQ_Shopping_FoodCat_BOF_RoInd,0,1
PerfMarketing_BAU_ACQ_Shopping_FoodDog_BOF_QComm,0,1
PerfMarketing_BAU_ACQ_Shopping_FoodDog_BOF_RoInd,0,1
PerfMarketing_BAU_ACQ_Shopping_LifestyleAll_BOF_QComm,0,1
PerfMarketing_BAU_ACQ_Shopping_LifestyleAll_BOF_RoInd,0,3
PerfMarketing_BAU_ACQ_Shopping_PharmacyAll_BOF_QComm,0,1
PerfMarketing_BAU_ACQ_Shopping_PharmacyAll_BOF_RoInd,0,5
PerfMarketing_BAU_ACQ_Standard_ActivityBasedAndroid_BOF_Ind,0,347
PerfMarketing_BAU_ACQ_Standard_ActivityBasedDCOAndroid_BOF_Ind,0,10336
PerfMarketing_BAU_ACQ_Standard_CancelledCustomersAndroidApp_BOF_Ind,0,33
PerfMarketing_BAU_ACQ_Standard_NonTransactorsAndroidApp_BOF_Ind,0,251
PerfMarketing_BAU_MIX_DemandGen_RTAllCategories_BOF_Ind,0,81
PerfMarketing_BAU_MIX_Sales_AcqRm_BOF_QComm,0,27
PerfMarketing_BAU_REP_AppEng_AndroidInactiveCust_BOF_RoInd,0,2385
PerfMarketing_BAU_REP_DemandGen_RMAllCategories_BOF_Ind,0,120
PerfMarketing_BAU_REP_Search_Brand_BOF_QComm,0,5
PerfMarketing_BAU_REP_Search_Brand_BOF_RoInd,0,14
PerfMarketing_BAU_REP_Search_Competitors_BOF_Ind,0,6
PerfMarketing_BAU_REP_Search_GenericFood_BOF_QComm,0,8
PerfMarketing_BAU_REP_Search_GenericFood_BOF_RoInd,0,34
PerfMarketing_BAU_REP_Search_GenericNonFood_BOF_QComm,0,8
PerfMarketing_BAU_REP_Search_GenericPharma_BOF_QComm,0,16
PerfMarketing_BAU_REP_Search_GenericPharma_BOF_RoInd,0,36
PerfMarketing_BAU_REP_Search_GenericPharma_BOF_SDD,0,10
PerfMarketing_BAU_REP_Search_PartnerFood_BOF_QComm,0,3
PerfMarketing_BAU_REP_Search_PartnerFood_BOF_RoInd,0,50
PerfMarketing_BAU_REP_Search_PharmaPartner_BOF_QComm,0,3
PerfMarketing_BAU_REP_Search_PharmaPartner_BOF_RoInd,0,16
PerfMarketing_BAU_REP_Search_PharmaPartner_BOF_SDD,0,6
PerfMarketing_BAU_REP_Shopping_FoodDog_BOF_RoInd,0,1
PerfMarketing_BAU_REP_Shopping_LifestyleAll_BOF_QComm,0,1
PerfMarketing_BAU_REP_Shopping_PharmacyAll_BOF_RoInd,0,1
PerfMarketing_BAU_REP_Standard_ActivityBasedDCOAndroid_BOF_Ind,0,1791
PerfMarketing_BAU_REP_Standard_BFAndroidApp_BOF_Ind,0,116
PerfMarketing_BAU_REP_Standard_BFAndroid_BOF_Ind,0,38
PerfMarketing_BAU_REP_Standard_LostLapsersActivityBasedDCOAndroid_BOF_Ind,0,129
PerfMarketing_BAU_REP_Standard_LostLapsersAndroidApp_BOF_Ind,0,50
PerfMarketing_BAU_REP_Standard_LostLapsersAndroid_BOF_Ind,0,30
PerfMarketing_BAU_REP_Standard_M1AndroidApp_BOF_Ind,0,91
PerfMarketing_BAU_REP_Standard_M1Android_BOF_Ind,0,92
PerfMarketing_BAU_REP_Standard_M2PlusM3AndroidApp_BOF_Ind,0,44
PerfMarketing_BAU_REP_Standard_M2PlusM3Android_BOF_Ind,0,62
PerfMarketing_BAU_REP_Standard_RecentLa,0,1
PerfMarketing_BAU_REP_Standard_RecentLapsersAndroidApp_BOF_Ind,0,142
PerfMarketing_BAU_REP_Standard_RecentLapsersAndroid_BOF_Ind,0,130
PerfMarketing_SaleCallout_ACQ_PerfMax_WTF26Flighted_BOF_Ind,0,65
PerfMarketing_SaleCallout_ACQ_PerfMax_WTF26_BOF_Ind,0,3
PerfMarketing_SaleCallout_MIX_PerfMax_WTF26_BOF_Ind,0,689
PerfMarketing_SaleCallout_MIX_PerfMax_WTF26_BOF_QComm,0,14
PerfMarketing_SaleCallout_MIX_Sales_WTF26_BOF_Ind,0,991
PerfMax_CatProducts_TROAS,0,179
PerfMax_CatProducts_TROAS_NewCust,0,51
PerfMax_DogFood_TROAS,0,245
PerfMax_DogFood_TROAS_NewCust,0,40
PerfMax_Farmina_Products_TROAS,0,40
PerfMax_Healthcare_BNSK_TCPA,0,1
PerfMax_Healthcare_Services_TCPA,0,6
PerfMax_NewCust_Products,0,1
PerfMax_NonFood_Products,0,205
PerfMax_PetProduct_NewCust_TROAS,0,315
PerfMax_Premium_Products,0,231
PerfMax_RC_Products,0,510
Perfmax_Henlo_Products,0,20
ST2GETHER15,0,2
ST_Pharma_DemandGen,0,114
Search_HealthCare_Grooming_MaxConv,0,1
Search_HealthCare_Reproduction_MaxConv,0,4
Search_Healthcare_Brand_TopIS_CPM,0,2
Search_Healthcare_Queries_TCPA,0,8
Search_Healthcare_Services_TopIS_CPM,0,2
Supertails RT,0,8
UCJ,0,1
VIZURY_INTELLIBID_PerfMarketing_BAU_ACQ_Standard_WebUA_Ind,0,11
VIZURY_INTELLIBID_PerfMarketing_BAU_REP_Standard_AndroidAppREM_Ind,0,33
WebRT_Clinic,0,12
block_id_24_mira,0,2
block_id_24_neel,0,2
block_id_34_mira,0,1
block_id_34_neel,0,1
block_id_5_mira_v2,0,1
fb4a,0,604
ibnod_collection_viewed_23mar,0,8
ibnod_product_viewed_23mar,0,11
ig4a,0,1538
sag_organic,0,6895
search_result,0,2
