utm_campaign,push_impressions,utm_visited
,140107,0
,0,539490
+block_id_5_neel_v2,0,2
01Apr_MP_1_xxALL,0,1
01Apr_MP_2_xxxPD,0,1
01Apr_MP_3_xxALL,0,1
01April_WA_Generic,0,7
02Apr_MP_2_Dog_Generic,0,1
03Apr_MP_2_xxALL,0,1
03Apr_MP_3_xxALL,0,1
04Apr_MP_2_SDD_xxGEN,0,1
04Apr_MP_2_xxALL,0,1
04Apr_MP_4_xxALL,0,8
04Apr_MP_6_xxALL,1,5
04Apr_MP_7_xxALL,0,2
04April_WA_xxALL,0,22
04April_WTF_Email,0,2
05Apr_MP_2_xxALL,0,1
05Apr_MP_3_xxALL,0,1
05Apr_MP_4_xxALL,0,2
05Apr_MP_5_xxALL,0,1
05Apr_MP_7_xxALL,1,1
05Apr_WA_xxALL,0,25
05April_WA_xxALL,0,1
06Apr_MP_1_xxALL,1,5
06Apr_MP_2_xxALL,1,9
06Apr_MP_6_CLH_xxxNF,0,2
07Apr_MP_1_30mns_xxGen,22,2
07Apr_MP_1_xxALL,469,17
07Apr_MP_1_xxSDD,23,0
07Apr_MP_2_30mns_xxGen,2,0
07Apr_MP_2_xxALL,1660,66
07Apr_MP_2_xxSDD,61,2
07Apr_MP_lapser_LT-HV_W-1,2,4
07Apr_MP_lapser_RL-MC_W-1,0,2
07April_MP_3M_Clinic_xSKIN,7,0
07April_MP_4M_Clinic_xxGUT,3,1
07April_MP_5M_Clinic_xDENT,0,1
07April_MP_6M_Clinic_xxN2B,15,0
08Apr_MP_1_xxALL,114091,556
08Apr_MP_1_xxSDD,12531,49
08Apr_MP_2_xxALL,92021,484
08Apr_MP_2_xxSDD,12682,41
08April_MP_1M_Clinic_Grooming_xxREP,14,0
08April_MP_1_Purepet_BRAND,658,3
08April_MP_2M_Clinic_xxxKR,1004,7
08April_MP_2_Schesir_BRAND,3764,17
08April_MP_3M_Clinic_xxDWM,340,0
08April_MP_4M_Clinic_xxCNP,1837,4
08April_MP_5M_Clinic_xxGRP,2349,11
08April_MP_6M_Clinic_Vaccine_xxN2B,103,1
08April_MP_7M_Clinic_Repeat_xxALL,1890,8
08April_MP_8M_Clinic_xBDAY,254,1
08April_MP_9M_Clinic_N2B_xxAHS,7524,22
08April_Wa_Clinic_Consultation_Potential,0,9
08April_Wa_Clinic_Grooming_Potential,0,48
08April_Wa_Clinic_xBDAY,0,10
08apr_MP_30min_Bclub_Blr,8633,23
08apr_MP_30min_snacktime_Blr,8495,31
120231826656270518,0,4
120233323245190518,0,6
120241608920390518,0,6
120241790677430518,0,18
120243106036430063,0,12
12Mar_MP1_ALL,124,0
17mar_MP_1_Past_PHARMA_xFOOD_viewed_A,3,0
17mar_MP_1_Past_PHARMA_xFOOD_viewed_B,2,0
17mar_MP_1_Past_PHARMA_xFOOD_viewed_C,3,1
17mor_MP_1_Past_PHARMA_xFOOD_B,1,0
17mor_MP_1_Past_PHARMA_xFOOD_C,2,0
19March_wa_1_Dewormer_PHARM,0,1
22437859191,0,12
22Mar_MP_IBNOD,411,0
