utm_campaign,push_impressions,utm_visited
,19465,0
,0,1486481
+block_id_5_neel_v2,0,1
01Apr_MP_1_xxALL,7,0
01Apr_MP_1_xxSDD,1,0
01Apr_MP_2_xxALL,10,0
01Apr_MP_2_xxSDD,1,0
01Apr_MP_3_xxALL,8,0
01Apr_MP_4_xxALL,8,0
01Apr_MP_5_xxALL,6,0
01April_Email_WTF,0,3
04Feb_Wa_Whiskas_BRAND,0,1
04Mar_WA_Clinic_DoublePet_xxN2B,0,1
08March_WA_Litter_xxxNF,0,1
09March_WA_Proplan_BRAND,0,1
120231826656270518,0,12
120233323245190518,0,40
120241608920390518,0,10
120241790677430518,0,6
120243106036430063,0,14
12Mar_MP1_ALL,133,0
1772848533,0,1
17mar_MP_1_Past_PHARMA_xFOOD_viewed_A,2638,10
17mar_MP_1_Past_PHARMA_xFOOD_viewed_B,2681,16
17mar_MP_1_Past_PHARMA_xFOOD_viewed_C,2711,7
17mor_MP_1_Past_PHARMA_xFOOD_A,1552,3
17mor_MP_1_Past_PHARMA_xFOOD_B,1486,12
17mor_MP_1_Past_PHARMA_xFOOD_C,1616,4
19Jan_Wa_RC_BRAND,0,1
19March_wa_1_Dewormer_PHARM,0,1
1April_MP_6_Clinic_xxN2B,1,0
21Feb_WA_EA,0,1
21Feb_WA_xxRetry,0,2
21March_MP_2_xxALL,0,1
21March_SMS_1_xxGen,0,1
22437859191,0,45
22Mar_MP_IBNOD,547,0
22Mar_WA_IBNOD,0,24
22March_MP_1_xxALL,0,1
22March_MP_2_xxALL,0,1
24Jan_WA_Gen,0,1
24March_MP_1_xxALL,0,1
25March_MP_1_xxALL,0,1
25March_MP_5_CLH_xxxNF,0,1
26March_MP_23_xxGen,0,2
26March_MP_2_Toys_xxxNF,0,1
27March_MP_1_xxABC,0,1
28Mar_WA_xxALL,0,146
28March_Email_WTF,0,6
28March_MP_1_xxALL,0,2
28March_MP_2_xxALL,0,2
28March_MP_3_xxALL,0,4
28March_MP_4_xxALL,0,1
28March_MP_5_xxALL,0,1
28March_MP_6_xxALL,0,1
28March_MP_7_xxALL,0,1
28March_MP_8_xxALL,0,2
28March_MP_9_xxALL,0,4
28March_SMS_xxGEN,0,4
