utm_campaign,push_impressions,utm_visited
,17265,0
,0,583886
01April_WA_Generic,0,1
03Apr_MP_1_xxALL,0,1
03Apr_MP_3_xxALL,0,2
04Apr_MP_2_xxALL,0,1
04Apr_MP_3_xxALL,0,1
04April_WA_xxALL,0,22
04April_WTF_Email,0,2
05Apr_MP_2_xxALL,0,3
05Apr_WA_xxALL,0,8
06Apr_MP_1_xxALL,0,1
06Apr_MP_2_xxALL,0,1
07Apr_MP_1_xxALL,0,1
08Apr_MP_1_xxALL,0,4
08Apr_MP_2_xxALL,0,10
08April_MP_2M_Clinic_xxxKR,0,1
08April_Wa_Clinic_Grooming_Potential,0,3
08April_Wa_Clinic_xBDAY,0,1
09Apr_MP_1_xxALL,550,30
09Apr_MP_1_xxSDD,23,3
09Apr_MP_2_xxALL,1550,75
09Apr_MP_2_xxSDD,46,4
09April_MP_1_KK_BRAND,23,2
09April_MP_2M_Clinic_xxxKR,3,0
09April_MP_2_PHARM,9,0
09April_MP_3_Henlo_BRAND,93,8
09April_MP_4M_Clinic_xxGRP,3,0
09April_MP_4_Temptation_BRAND,18,4
09April_MP_5M_Clinic_xxCNP,2,0
09April_MP_5_dogsee_chew_BRAND,22,1
09April_MP_6M_Clinic_xSKIN,2,2
09April_MP_7M_Clinic_xxGUT,1,0
09April_MP_9M_Clinic_xxN2B,9,0
09April_MP_A1M_xxABC,11,3
09April_MP_A2M_xxxPD,3,2
09April_MP_A3M_Litter,1,0
09April_MP_A3M_xRECO,13,0
09April_MP_B1M_Kidney,0,1
09April_MP_B1M_xxABC,22,4
09April_MP_B2M_xxxPD,3,0
09April_MP_B3M_xRECO,10,0
09April_Wa_Clinic_Dental,0,1
09April_Wa_Clinic_Gut,0,2
09April_Wa_Clinic_Skin,0,1
09apr_MP_30min_Bclub_Blr,10,0
09apr_MP_30min_snacktime_Blr,64,2
10Apr_MP_1_xxALL,106815,613
10Apr_MP_1_xxSDD,17454,29
10Apr_MP_2_xxALL,156799,816
10April_MP_1M_Clinic_Grooming_xxREP,19,0
10April_MP_1_Friskies_BRAND,6297,37
10April_MP_2M_Clinic_xxxKR,1007,3
10April_MP_2_PHARM,17554,115
10April_MP_3M_Clinic_xxDWM,344,0
10April_MP_4M_Clinic_xxGRP,2407,15
10April_MP_5M_Clinic_xxCNP,1783,4
10April_MP_6M_Clinic_xBDAY,360,0
10April_MP_7M_Clinic_Vaccine_xxN2B,109,0
10April_MP_8M_Clinic_xDENT,688,5
10April_MP_9M_Clinic_xxN2B,7459,29
10April_MP_A10M_xxxWF,421,1
10April_MP_A11M_Grooming,340,0
10April_MP_A12M_xToys,368,5
10April_MP_A13M_Treat,219,2
10April_MP_A14M_xxCLH,299,0
10April_MP_A15M_Deworming,881,4
10April_MP_A16M_xTick,415,3
10April_MP_A17M_Supplement,732,1
10April_MP_A18M_Bowls,99,0
10April_MP_A19M_Clothing,397,1
10April_MP_A1M_xxABC,6433,50
10April_MP_A20M_xxBMT,141,1
10April_MP_A21M_xSkin,481,0
10April_MP_A22M_Cardiac,40,0
10April_MP_A23M_Digestive,10,0
10April_MP_A24M_Liver,25,0
10April_MP_A2M_xxxPD,1172,6
10April_MP_A3M_xRECO,2119,9
10April_MP_A4M_xxSKU,3300,10
10April_MP_A5M_xxAFF,4658,17
10April_MP_A6M_Kidney,37,0
10April_MP_A7M_Joint,89,0
10April_MP_A8M_Litter,134,2
10April_MP_A9M_xxxDF,1569,4
10April_MP_B10M_xxxWF,414,3
10April_MP_B11M_Grooming,290,1
10April_MP_B12M_xToys,346,1
10April_MP_B13M_Treat,242,0
