utm_campaign,push_impressions,utm_visited
,17513,0
,0,1614287
+04Mar_WA_Clinic_Supercash_xxN2B,0,1
+block_id_5_neel_v2,0,4
02Jan_WA_xxGEN,0,1
04Feb_Wa_Whiskas_BRAND,0,1
04Mar_WA_Clinic_Supercash_xxN2B,0,1
04March_Wa_Clothing_xxxNF,0,1
05Feb_WA_Pedigree_BRAND,0,1
06March_Wa_1_Proplan_BRAND,0,3
08March_MP_3_xxALL,0,1
08March_WA_Litter_xxxNF,0,4
09March_WA_Proplan_BRAND,0,1
11Feb_WA_SDD_PHARM,0,1
12,0,4
12023,0,1
120231826656270518,0,14
1202333,0,1
120233323245190518,0,19
120241608920390518,0,8
120241790677430518,0,8
120243106036430063,0,26
12Mar_MP1_ALL,40,0
13Jan_WA_Affinity_xxxBF,0,1
13Jan_WA_Gen_xxxM2,0,1
13March_WA_WHISKAS_BRAND,0,1
16March_WA_1_BMT_xxxNF,0,4
1769836234,0,2
1769836970,0,1
1769838471,0,2
1771396695,0,1
1771501863,0,2
1772845356,0,3
1772846825,0,2
1772847592,0,1
1772848012,0,1
1772848125,0,3
1772848696,0,1
18March_MP_2_xxALL,0,1
19March_MP_4_Skincare_PHARM,0,3
19March_Wa_Clinic_Rajaji_Launch_xxxN2B,0,1
19March_wa_1_Dewormer_PHARM,0,13
21Feb_MP_2_Past_PHARM_xFOOD,11973,30
21Feb_MP_2_Past_PHARM_xFOOD_viewed,607,3
21Feb_WA_EA,0,6
21Feb_WA_EA_Reply_Button,0,7
21March_Email_Eid_Special,0,2
21March_MP_1_xxALL,0,1
21March_SMS_1_xxGen,0,1
22437859191,0,31
22Mar_MP_IBNOD,462,0
22Mar_WA_IBNOD,0,13
22March_MP_1_xxALL,0,1
22March_MP_2_30MNS_xxGEN,0,1
23Aug_WA_4_Utility_xxALL,0,1
23March_MP_2_xxALL,0,2
24March_MP_1_xxALL,0,3
24March_MP_2_xxALL,0,2
24March_SMS_2_xxxBF,0,1
24March_WA_30min_lapser,0,1
24Nov_WA_HDW_XXGEN,0,2
25March_MP_1_xxALL,0,2
25March_MP_2_Gnawlers_BRAND,0,1
25March_MP_2_xxALL,0,6
25March_MP_30min_opening_xxxall,0,1
25March_MP_4_Whiskas_BRAND,0,3
26March_MP_15_XTICK,0,1
26March_MP_25_xxGen,1,6
26March_MP_2_Toys_xxxNF,0,6
26March_MP_30min_opening_xxxall,0,3
26March_MP_3_Skincare_PHARM,0,1
26March_MP_4_xxAFF,0,1
26March_MP_5_xxAFF,0,1
26March_MP_6_RC_BRAND,1,0
26March_MP_7_BMT_xxxNF,0,2
27March_MP_10_xxxWF,1,0
27March_MP_12_Toys,1,1
27March_MP_13_Treats,0,1
27March_MP_14_Deworming,0,1
27March_MP_15_xTick,1,0
27March_MP_19_Clothing,1,0
27March_MP_1_xxABC,6,12
27March_MP_20_xxBMT,1,0
27March_MP_24_xxGen,733,36
27March_MP_25_xxGen,1597,41
27March_MP_2_xxxPD,6,3
27March_MP_3_XRECO,5,7
27March_MP_4_XXAFF,1,0
27March_MP_4_XXSKU,7,2
27March_MP_5_XXAFF,1,1
27March_MP_9_xxxDF,2,0
28Aug_WA_Promotional_SWAG_xxALL,0,1
28Dec_WA_xxGEN,0,1
28Feb_WA_Clinic_SUPERCASH500_xxN2B,0,1
28Mar_WA_xxALL,0,3605
28March_Email_WTF,0,26
28March_MP_1_30mns_xxGEN,13534,37
28March_MP_1_xxALL,203897,1029
28March_MP_2_ICICI,7656,33
28March_MP_2_xxALL,203744,714
28March_MP_3_xHDFC,2587,9
28March_MP_3_xxALL,190203,739
28March_MP_4_xAXIS,1431,6
28March_MP_4_xxALL,192013,792
28March_MP_5_xxALL,190618,709
28March_MP_5_xxSDD,13069,43
28March_MP_6_xxALL,202834,722
28March_MP_7_xxALL,202387,637
28March_MP_8_xxALL,200588,619
28March_MP_9_xxALL,185470,550
28March_SMS_xxGEN,0,150
29March_MP_1_xxALL,54,0
29March_MP_2_xxALL,9,0
29March_MP_3_xxALL,7,0
29March_MP_4_xxALL,8,0
29March_MP_5_xxALL,5,0
29Nov_WA_HDW_Major_xFOOD,0,1
31Aug_WA_Reorder_Reminder,0,5
42390,0,1
47898,0,1
47901,0,1
AHS+Prescription+Generated,0,1
AppRT_Android_All,0,125
App_Install_Clinic,0,1
BLR_Charged_Supercash_New_Cx,77,0
BrandMarketing_SaleCallout_MIX_Video_TrafficGoogleLPViews_MOF_RoInd,0,198
CM_Short_MIX_PMax_Dog-HomeMeals-Launch-Blr_BOF_QComm,0,7
CatMkt_Short_MIX_PerfMax_Signature_BOF_RoInd,0,46
Clinic+Abandoned+Cart+Journey,0,3
ClinicDropOffJourney,79,0
DSA_AllProducts_TROAS,0,210
Day10_Henlo_Sampling_18mar_WA,0,1
Day3_Henlo_Sampling_18mar_Push,12,0
Day6_Henlo_Sampling_18mar_Push,25,0
Day7_Henlo_Sampling_18mar_Push,24,1
Food_DemandGen_Products,0,301
IBNODJourney,255,5
M1Journey,13,0
M1PV,54,3
Msg1,31,0
N2B10KMRadiusCustomers_Traffic,0,9
NF_DemandGen_Products,0,228
PMax_SeniorPets_TROAS_SDD,0,127
PerfMarketing_BAU_ACQ_DemandGen_AllCategories_BOF_Ind,0,465
PerfMarketing_BAU_ACQ_PerfMax_NonFood_BOF_RoInd,0,46
