utm_campaign,push_impressions,utm_visited
,16518,0
,0,1401704
%7CCAMPAIGN_NAME%7C,0,1
04Mar_WA_Clinic_Birthday_xxN2B,0,1
07March_MP_2_xxALL,0,1
08March_WA_Litter_xxxNF,0,2
120231826656270518,0,24
120233323245190518,0,28
120241608920390518,0,5
12024310603643006,0,1
120243106036430063,0,9
12Mar_MP1_ALL,121,1
1769829640,0,1
1769836970,0,1
1772845356,0,1
1772848439,0,1
1772848614,0,1
17March_MP_1_xxALL,0,1
19March_wa_1_Dewormer_PHARM,0,2
20March_WA_1_xEIDI,0,1
21Feb_MP_2_Past_PHARM_xFOOD,1,0
21March_MP_2_xxALL,0,1
22437859191,0,52
22Feb_WA_EA,0,3
22Mar_MP_IBNOD,472,0
22Mar_WA_IBNOD,0,13
22March_MP_1_xxALL,0,1
22March_MP_2_30MNS_xxGEN,0,1
22March_MP_2_xxALL,0,3
23Mar_WA_Clinic_Supercash_xxN2B,0,1
23March_MP_1_xxALL,0,1
23March_MP_2_xxALL,0,2
23March_MP_6_Clinic_xxN2B,0,1
24March_MP_2_xxALL,0,3
24March_MP_6_Clinic_xxN2B,0,1
24March_SMS_1_xxGen,0,2
24March_SMS_5_RBNOD,0,1
25March_MP_1_xxALL,0,4
25March_MP_2_xxALL,0,6
25March_MP_30min_opening_xxxall,0,1
26March_MP_10_xxxWF,31,0
26March_MP_11_Grooming,16,1
26March_MP_12_xTOYS,1,0
26March_MP_12_xxTOYS,16,0
26March_MP_13_TREAT,14,0
26March_MP_13_Treat,14,2
26March_MP_14_Deworming,16,1
26March_MP_15_Deworming,9,3
26March_MP_15_XTICK,14,0
26March_MP_16_Supplement,16,0
26March_MP_16_XTICK,4,1
26March_MP_17_Bowls,11,0
26March_MP_18_Clothing,7,0
26March_MP_19_xSKIN,12,1
26March_MP_1_Clinic_xxxKR,2,0
26March_MP_1_KK_BRAND,12,0
26March_MP_1_xxABC,28,6
26March_MP_20_Cardiac,15,0
26March_MP_21_Digestive,10,0
26March_MP_21_XSKIN,10,0
26March_MP_22_LIVER,10,3
26March_MP_23_Digestive,5,0
26March_MP_23_xxCLH,11,0
26March_MP_23_xxGen,506,22
26March_MP_24_LIVER,11,0
26March_MP_24_xxBMT,9,0
26March_MP_25_xxGen,1416,81
26March_MP_2_Toys_xxxNF,19,1
26March_MP_2_xxPD,0,1
26March_MP_2_xxxPD,25,0
26March_MP_30min_opening_xxxall,7,0
26March_MP_3_Skincare_PHARM,39,6
26March_MP_3_xRECO,16,5
26March_MP_4_Petstar_BRAND,9,2
26March_MP_4_xxAFF,23,0
26March_MP_4_xxSKU,2,2
26March_MP_5_Cardiac_PHARM,1,0
26March_MP_5_xxAFF,5,4
26March_MP_5_xxSKU,24,0
26March_MP_6_KIDNEY,13,0
26March_MP_6_Kidney,12,0
26March_MP_6_RC_BRAND,17,2
26March_MP_7_BMT_xxxNF,41,6
26March_MP_7_XJOINT,7,1
26March_MP_8_LITTER,16,0
26March_MP_8_Pedigree_BRAND,51,4
26March_MP_9_xxxDF,20,1
27March_MP_10_xxxWF,2535,15
27March_MP_11_Grooming,1504,2
27March_MP_12_Toys,1684,11
27March_MP_13_Treats,1488,3
27March_MP_14_Deworming,2408,14
27March_MP_14_xxCLH,703,2
27March_MP_15_Deworming,2306,6
27March_MP_15_xTick,2146,1
27March_MP_16_Supplement,2074,8
27March_MP_16_xTick,730,3
