utm_campaign,push_impressions,utm_visited
,0,1150261
,15786,0
 Day7_HenloSamplingPush,23,0
+block_id_5_neel_v2,0,4
06March_Wa_1_Proplan_BRAND,0,1
07March_Email_Summer_essentials,0,1
07March_MP_2_xxALL,0,1
11March_WA_Tick%26Flea_PHARM,0,1
120231826656270518,0,8
120233323245190518,0,23
120243106036430063,0,15
120243106174600063,0,3
12Mar_MP1_ALL,142,1
1771396695,0,1
1772845356,0,4
1772846825,0,2
1772847341,0,2
1772848125,0,2
1772848260,0,5
1772848439,0,2
1772848614,0,1
1772848764,0,2
17March_MP_1_xxALL,0,2
17March_MP_2_xxALL,0,2
17mar_MP_1_Past_PHARMA_xFOOD_viewed_A,2676,10
17mar_MP_1_Past_PHARMA_xFOOD_viewed_B,2712,8
17mar_MP_1_Past_PHARMA_xFOOD_viewed_C,2719,9
17mor_MP_1_Past_PHARMA_xFOOD_A,1546,6
17mor_MP_1_Past_PHARMA_xFOOD_B,1461,3
17mor_MP_1_Past_PHARMA_xFOOD_C,1583,9
18March_MP_1_xxALL,0,1
18March_MP_2_xxALL,0,1
19March_MP_1_xxALL,0,2
19March_MP_2_xxALL,0,1
19March_MP_4_Skincare_PHARM,0,1
20March_MP_1_xxALL,0,1
20March_MP_2_xxALL,0,1
20March_WA_1_xEIDI,0,1
21Feb_WA_EA,0,1
21March_Email_Eid_Special,0,2
21March_MP_1_xxALL,0,1
21March_MP_2_xxALL,0,5
21March_SMS_1_xxGen,0,3
21March_SMS_2_xxxBF,0,1
21March_SMS_3_Lapse_xxxxA,0,2
21March_SMS_5_Lapse_xxxxC,0,1
21March_SMS_6_RBNOD,0,1
22437859191,0,83
22Feb_WA_EA,0,1
22Mar_MP_IBNOD,378,0
22Mar_WA_IBNOD,0,3
22March_MP_1_xxALL,1,9
22March_MP_2_30MNS_xxGEN,0,2
22March_MP_2_xxALL,4,14
22March_MP_6_Clinic_xxN2B,0,1
23Mar_WA_Clinic_Supercash_xxN2B,0,3
23March_MP_1_30MNS_xxGEN,8,0
23March_MP_1_Clinic_xxRAJ,4,0
23March_MP_1_SDD_PHARM,5,0
23March_MP_1_xxALL,651,26
23March_MP_2_30MNS_xxGEN,54,6
23March_MP_2_Clinic_xxKAL,2,1
23March_MP_2_Clothing_xxxNF,8,0
23March_MP_2_xxALL,1703,102
23March_MP_3_Clinic_xBDAY,3,0
23March_MP_3_Drools_BRAND,48,1
23March_MP_4_Clinic_xDENT,1,0
23March_MP_4_Smylo_BRAND,26,6
23March_MP_5_Clinic_xMULT,3,0
23March_MP_5_Deworming_PHARM,50,4
23March_MP_6_Clinic_xxN2B,48,5
24March_MP_1_30MNS_xxGEN,13343,55
24March_MP_1_Clinic_xxRAJ,82,3
24March_MP_1_xxALL,171196,829
24March_MP_2_30MNS_xxGEN,12206,46
24March_MP_2_Clinic_xxKAL,380,3
24March_MP_2_xxALL,172933,779
24March_MP_30min_closing_xxblr,4531,7
24March_MP_30min_xxxMum,1888,8
24March_MP_30min_xxxdel,9,0
24March_MP_3_Clinic_xBDAY,391,2
24March_MP_4_Clinic_xDENT,606,2
24March_MP_5_Clinic_xMULT,627,0
24March_MP_6_Clinic_xxN2B,3766,15
24March_SMS_1_xxGen,0,24
24March_SMS_2_xxxBF,0,46
24March_SMS_3_Lapse_xxxxA,0,21
24March_SMS_3_Lapse_xxxxB,0,11
24March_SMS_4_Lapse_xxxxC,0,7
24March_SMS_5_RBNOD,0,40
24March_WA_30min_lapser,0,10
25March_MP_1_xxALL,6,0
25March_MP_2_xxALL,4,0
25March_MP_5_CLH_xxxNF,0,2
2Mar_Email_Clinic_Bathdry500_xxN2B,0,1
31Aug_WA_Utility_SWAG_xxALL,0,1
42392,0,1
AppRT_Android_All,0,139
BLR_Charged_Supercash_New_Cx,140,0
BrandMarketing_SaleCallout_MIX_Video_TrafficGoogleLPViews_MOF_RoInd,0,104
BrandMarketing_Seasonal_ACQ_Traff_MIX_TOF_Ind,0,1
CM_Short_MIX_PMax_Dog-HomeMeals-Launch-Blr_BOF_QComm,0,6
CatMkt_Short_MIX_PerfMax_Signature_BOF_RoInd,0,16
ClinicDropOffJourney,57,0
DSA_AllProducts_TROAS,0,158
Day10_Henlo_Sampling,0,1
Day3_Henlo_SamplingPush,2,0
Day3_Henlo_Sampling_18mar_Push,20,0
Day6_Henlo_SamplingPush,6,0
Day6_Henlo_Sampling_18mar_Push,1,0
Display_Healthcare_RT,0,2
Food_DemandGen_Products,0,240
IBNODJourney,282,1
Journey,1,0
M1Journey,17,0
M1PV,44,0
Msg1,32,1
N2B10KMRadiusCustomers_Traffic,0,14
NF_DemandGen_Products,0,338
PMax_SeniorPets_TROAS_SDD,0,93
Pe,0,1
PerfMarketing_BAU_ACQ_DemandGen_AllCategories_BOF_Ind,0,81
PerfMarketing_BAU_ACQ_PerfMax_NonFood_BOF_RoInd,0,62
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind_30-90D_Minus_D30_Purchase,0,2
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind_30D_ATC_No_Purchase,0,49
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind_30D_No_ATC,0,25
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind_30D_No_Product_Viewed,0,39
PerfMarketing_BAU_ACQ_Sales_MetaAllCategories_BOF_Ind,0,11
PerfMarketing_BAU_ACQ_Sales_MetaRTAllCategories_BOF_Ind,0,1
PerfMarketing_BAU_ACQ_Search_Brand_BOF_QComm,0,2
PerfMarketing_BAU_ACQ_Search_Competitors_BOF_RoInd,0,2
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_QComm,0,4
PerfMarketing_BAU_ACQ_Search_GenericFood_BOF_RoInd,0,5
PerfMarketing_BAU_ACQ_Search_GenericNonFood_BOF_QComm,0,1
PerfMarketing_BAU_ACQ_Search_GenericNonFood_BOF_RoInd,0,38
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_QComm,0,10
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_RoInd,0,9
PerfMarketing_BAU_ACQ_Search_GenericPharma_BOF_SDD,0,2
PerfMarketing_BAU_ACQ_Search_PartnerFood_BOF_RoInd,0,13
PerfMarketing_BAU_ACQ_Search_PharmaPartner_BOF_QComm,0,1
