utm_campaign,push_impressions,utm_visited
,17946,0
,0,1735386
"%20Supertails%20Live%20Project%201%20trial%20active%20Ask%20%20%20Campaigns%20/%20Email%20/%2018Mar_Email_Clinic_RN_Launch%20/%20clone%2050%25%20complete%20Unsaved%20Name*%2021Mar_Email_Clinic_RN_Launch%20Label%20Clinic-Repeat%20Select%20labels%20%20Start%20here%20Qualification%20criteria:Past%20behavior/Custom%20listService%20Provider:support@send.supertails.comGoal:Appointment%20Confirmed,%205%20Days%20%20Who",0,1
+block_id_5_neel_v2,0,2
02Jan_WA_xxGEN,0,3
09March_WA_Proplan_BRAND,0,1
12,0,1
120231826656270518,0,46
1202333232451905,0,1
120233323245190518,0,64
120241608920390518,0,17
120241790677430518,0,12
1202431,0,1
1202431060,0,1
1202431060364,0,1
12024310603643006,0,1
120243106036430063,0,56
12Mar_MP1_ALL,94,0
13March_WA_2_HNW_xxxNF,0,1
16March_WA_1_BMT_xxxNF,0,1
1769829640,0,1
1772845356,0,1
1772848125,0,1
1772848439,0,1
1772848533,0,2
17March_MP_1_30MNS_xxGEN,0,1
19March_wa_1_Dewormer_PHARM,0,3
21Feb_MP_2_Past_PHARM_xFOOD,11,0
21Feb_MP_2_Past_PHARM_xFOOD_viewed,2,0
21Feb_WA_EA_Reply_Button,0,1
21Feb_WA_xxRetry,0,1
22437859191,0,44
22Feb_WA_EA,0,6
22Mar_MP_IBNOD,757,0
22Mar_WA_IBNOD,0,18
22March_MP_1_xxALL,0,1
22March_MP_2_xxALL,0,3
23March_MP_1_xxALL,0,2
24March_MP_1_xxALL,0,1
24March_MP_2_xxALL,0,1
24March_SMS_4_Lapse_xxxxC,0,1
24March_SMS_5_RBNOD,0,1
25Dec_WA_BRAND,0,3
25March_MP_1_xxALL,0,2
25March_MP_2_Gnawlers_BRAND,0,1
25March_MP_4_Whiskas_BRAND,0,2
25March_MP_5_CLH_xxxNF,0,2
26March_MP_15_XTICK,0,1
26March_MP_30min_opening_xxxall,0,1
26March_MP_3_xRECO,0,1
26March_MP_7_BMT_xxxNF,0,1
27March_MP_12_Toys,0,1
27March_MP_1_xxABC,0,2
27March_MP_24_xxGen,0,3
27March_MP_25_xxGen,0,1
27March_MP_5_XXAFF,0,1
28Mar_WA_xxALL,0,477
28March_Email_WTF,0,11
28March_MP_1_30mns_xxGEN,19,0
28March_MP_1_xxALL,10,10
28March_MP_2_ICICI,23,0
28March_MP_2_xxALL,240,5
28March_MP_3_xHDFC,5,0
28March_MP_3_xxALL,506,10
28March_MP_4_xAXIS,4,0
28March_MP_4_xxALL,763,10
28March_MP_5_xxALL,1201,11
28March_MP_5_xxSDD,31,1
28March_MP_6_xxALL,1963,21
28March_MP_7_xxALL,2601,30
28March_MP_8_xxALL,4648,69
28March_MP_9_xxALL,19489,417
28March_SMS_xxGEN,0,15
29Mar_WA_RBNOD,0,822
29Mar_WA_xxALL,0,59
29March_MP_1_30mns_xxGEN,13532,56
29March_MP_1_xxALL,177917,655
29March_MP_2_xxALL,177556,622
29March_MP_2_xxSDD,13003,60
29March_MP_3_xxALL,204273,854
29March_MP_4_xxALL,203482,751
29March_MP_5_xxALL,201442,756
30March_MP_1_xxALL,46,0
30March_MP_2_xxALL,6,0
31Aug_WA_Reorder_Reminder,0,1
31Aug_WA_Utility_SWAG_xxALL,0,1
AppRT_Android_All,0,111
App_Install_Clinic,0,1
AppointmentReschedule,0,1
BLR_Charged_Supercash_New_Cx,152,1
BrandMarketing_SaleCallout_MIX_Video_TrafficGoogleLPViews_MOF_RoInd,0,248
CM_Short_MIX_PMax_Dog-HomeMeals-Launch-Blr_BOF_QComm,0,12
CatMkt_Short_MIX_PerfMax_Signature_BOF_RoInd,0,39
ClinicDropOffJourney,74,0
DSA_AllProducts_TROAS,0,182
Day10_Henlo_Sampling_18mar_WA,0,2
Day3_Henlo_Sampling_18mar_Push,27,0
Day6_Henlo_Sampling_18mar_Push,21,0
Day7_Henlo_Sampling_18mar_Push,20,0
Food_DemandGen_Products,0,271
IBNODJourney,466,5
M1Journey,18,0
M1PV,50,0
Msg1,23,0
N2B10KMRadiusCustomers_Traffic,0,5
NF_DemandGen_Products,0,257
PMax_SeniorPets_TROAS_SDD,0,137
PerfMarketing_BAU_ACQ_DemandGen_AllCategories_BOF_Ind,0,240
PerfMarketing_BAU_ACQ_PerfMax_NonFood_BOF_RoInd,0,70
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind,0,107
PerfMarketing_BAU_ACQ_RT_Web_BOF_Ind_30D_No_Product_Viewed,0,1
